year,species,lc.doy,lf.doy,sd.lc.doy,sd.lf.doy
1991,ACPE,276,288,3.92838130221414,5.34526981189777
1992,ACPE,278,289,7.83862312663194,3.53213750805718
1993,ACPE,279,291,5.75537236446153,5.27182343593074
1994,ACPE,279,290,3.29819561408146,1.41534490862414
1995,ACPE,270,281,1.09714808554229,6.30207396054615
1996,ACPE,279,289,7.75914136878351,1.90020486984172
1997,ACPE,278,286,1.46113575865616,2.88636626816817
1998,ACPE,278,290,2.27570361632313,4.53290851762848
1999,ACPE,283,293,3.88834722338595,1.75193088692637
2000,ACPE,280,290,6.51026753316244,4.51999454498799
2001,ACPE,281,289,2.71676388444974,0.588597108667646
2002,ACPE,284,296,6.18375038788821,13.6815504597606
2003,ACPE,283,292,1.82246290701688,0.463658059843232
2004,ACPE,283,292,9.67249283213289,7.11814119173896
2005,ACPE,285,296,3.86795243782308,3.72483804734352
2006,ACPE,277,286,5.48565308421617,1.30993971760258
2007,ACPE,278,288,4.70521703483962,1.15274686269151
2008,ACPE,281,292,18.0654934661154,17.0608000965063
2009,ACPE,277,288,7.92180782689933,4.94481327332456
2010,ACPE,274,287,3.00499189788629,3.46410161513775
2011,ACPE,285,293,5.57121750020075,1.17470008822189
2012,ACPE,280,288,0.56360600641371,2.06312238048047
2013,ACPE,281,289,6.08854410174066,4.28568041673749
2014,ACPE,279,289,3.5067392159479,3.81901585736191
2015,ACPE,285,293,7.36373136875023,8.29612559279045
2016,ACPE,284,294,5.99163051300903,6.06814875140453
2017,ACPE,282,291,4.38614435212159,8.11532632654519
2018,ACPE,291,300,5.62924390021444,2.71010509989705
2019,ACPE,281,293,20.0193954561576,2.6715917137859
2020,ACPE,278,290,1.55411449859184,4.84523450733682
2021,ACPE,286,293,7.22328282832285,10.6904075577106
2022,ACPE,279,289,1.56439714999844,5.716252291529
2023,ACPE,286,297,3.55013988480623,1.85127125177316
1991,ACRU,266,279,5.17101157953055,7.25798878994397
1992,ACRU,268,285,8.64024924276991,0
1993,ACRU,270,278,NA,8.65701439795408
1994,ACRU,268,278,7.28214344394085,0.214238435580372
1995,ACRU,267,276,2.8985547904087,0.769744548114455
1996,ACRU,272,281,2.33429199413439,0
1997,ACRU,273,282,6.62127105995769,0.214238435580372
1998,ACRU,270,279,NA,2.11408519839122
1999,ACRU,276,286,6.1989889579218,1.73200750608219
2000,ACRU,273,282,NA,11.903232281017
2001,ACRU,274,282,0.128345606568912,0
2002,ACRU,275,286,5.44349917501527,0
2003,ACRU,278,285,NA,NA
2004,ACRU,274,283,10.0166622816695,9.07608346877783
2005,ACRU,278,285,10.7044954624046,0
2006,ACRU,270,278,NA,1.15696878720182
2007,ACRU,274,284,NA,6.37059055410293
2008,ACRU,271,282,NA,NA
2009,ACRU,270,280,NA,7.05194171364532
2010,ACRU,270,279,0,0
2011,ACRU,274,282,1.04010325448762,2.30939818999272
2012,ACRU,270,279,NA,NA
2013,ACRU,267,277,NA,NA
2014,ACRU,271,282,1.17107014441113,1.27514377928566
2015,ACRU,278,288,7.24809995076405,10.5264079110393
2016,ACRU,275,288,NA,4.55029389983802
2017,ACRU,274,286,NA,7.7321055647666
2018,ACRU,274,283,7.98108244873951,0
2019,ACRU,267,282,NA,7.57971201209609
2020,ACRU,270,285,NA,1.88569350826458
2021,ACRU,273,285,3.17893454168245,8.86356181947992
2022,ACRU,270,281,NA,6.82359821067202
2023,ACRU,273,286,NA,8.04928664553636
1991,ACSA,284,296,8.24113898050055,7.57339733467492
1992,ACSA,277,294,2.82138350837847,6.10544118191928
1993,ACSA,279,292,6.15980230128399,5.20964133644612
1994,ACSA,281,290,0.66181347775251,0.79386058943869
1995,ACSA,281,291,4.12868004279067,6.02494196613332
1996,ACSA,285,292,0,5.94323910708514
1997,ACSA,284,295,4.33003319903435,7.13726566993951
1998,ACSA,281,290,5.23637583954069,3.67536402828046
1999,ACSA,283,294,4.88287677649851,5.21316648158211
2000,ACSA,281,293,11.4515955866626,12.0629312657746
2001,ACSA,285,296,5.35685562651309,0
2002,ACSA,290,302,1.58545429528058,0.69167964769012
2003,ACSA,283,293,6.7725154249213,8.3683191834014
2004,ACSA,286,299,4.15479270691906,5.26593198465531
2005,ACSA,290,302,11.5521070926165,3.47325045904566
2006,ACSA,279,290,3.82400062786899,8.78854182247834
2007,ACSA,286,300,0.311136114928379,4.41153301830354
2008,ACSA,283,295,0.704023339173648,0.157893023942713
2009,ACSA,281,294,6.25154540976453,8.14826917196192
2010,ACSA,279,294,2.0208515164751,1.24586388747106
2011,ACSA,277,291,6.82635392674945,12.662372895798
2012,ACSA,275,288,0.202263511317568,0.147026496055523
2013,ACSA,275,286,16.0431486770077,NA
2014,ACSA,280,292,1.03875912800398,3.56118210893349
2015,ACSA,286,298,8.0930817707655,6.72064033269417
2016,ACSA,286,296,5.49661560152989,4.75228599618898
2017,ACSA,282,291,6.9863335056771,9.78626883897025
2018,ACSA,275,289,6.21688104801223,5.96586232963171
2019,ACSA,278,293,2.07647910211135,3.32700141708957
2020,ACSA,279,295,0.352791645946565,0.449104301248641
2021,ACSA,272,288,5.09665834219862,7.72549020088602
2022,ACSA,279,291,6.94893913789562,19.3066362132351
2023,ACSA,269,280,13.2429821370257,3.81858166662307
1991,AMSP,271,280,5.29506749545931,4.53529221551896
1992,AMSP,283,285,8.86571905572083,7.6133506828912
1993,AMSP,272,285,5.99922610529036,4.64115815917325
1994,AMSP,271,280,7.99595152296884,7.73158972009703
1995,AMSP,270,280,4.20340313564349,1.47846160575193
1996,AMSP,274,286,3.03444157530424,8.1434298134882
1997,AMSP,275,284,9.27056775205225,5.75316650046552
1998,AMSP,272,283,1.6338225029772,1.55043465600426
1999,AMSP,278,289,1.9248730560014,3.82848640693963
2000,AMSP,277,285,8.73458318272409,9.3822689845458
2001,AMSP,278,285,0.514369722153239,4.714025173118
2002,AMSP,280,291,2.10911290448603,2.11670551097932
2003,AMSP,281,286,8.47104450118531,10.1269558505698
2004,AMSP,282,287,8.73693205968947,9.64952555402331
2005,AMSP,278,286,7.61060867972279,4.04046059399297
2006,AMSP,268,278,5.78499290937277,4.58091576990544
2007,AMSP,275,285,10.5809871990792,20.8348985667291
2008,AMSP,276,287,0.500458375879504,0.973579271845542
2009,AMSP,272,282,5.22151284337278,2.04585331419716
2010,AMSP,273,281,0.268206521833308,0.449666671468348
2011,AMSP,268,272,11.2685740273089,14.7052451195583
2012,AMSP,271,279,0.707828493521476,1.56236012584706
2013,AMSP,268,274,13.9340790196855,13.9691198714315
